key	read_count
unirefid	1
UniRef90_UPI0009E22FD8	1
UniRef90_UPI0009E42017	3
UniRef90_A0A2E7EDW5	1
UniRef90_UPI00077AA835	2
UniRef90_UPI00077AEF50	2
UniRef90_UPI0009E4CB30	4
UPI000F550BCF	1
UniRef90_UPI00077B2786	1
UniRef90_A0A2B4SFI0	1
UniRef90_UPI00077A9991	22
UniRef90_B7T143	3
UPI00077A1898	4
UniRef90_A0A2B4RJ43	1
UniRef90_UPI0009E4B945	1
UniRef90_UPI00077A563F	1
UniRef90_A0A2B4SVR2	1
UniRef90_UPI00077AF647	8
UniRef90_UPI0009E2CFA9	1
UniRef90_A0A2G8KVJ2	1
UPI000F557F2F	1
UniRef90_UPI0009E4D36E	1
UniRef90_UPI0009E627DB	1
UniRef90_UPI0009E2523F	12
UniRef90_UPI0009E5528F	2
UniRef90_UPI0009E52C34	6
UniRef90_UPI0009E42C52	2
UPI0009E46109	1
UPI00077A7B1D	4
UniRef90_UPI0009E1C395	2
UniRef90_UPI0009E27ABD	1
UPI000C053EB5	1
UniRef90_UPI00077A41C0	5
UniRef90_A0A2B4SIS8	1
UniRef90_A0A2B4RQE0	2
UniRef90_UPI00077B20AE	9
UniRef90_UPI00077A0ECA	2
UniRef90_A0A2B4SYS3	1
UniRef90_UPI00077A4AB7	1
A0A2B4SDY6	2
UniRef90_A0A2B4S017	1
UniRef90_UPI00077A4684	4
UniRef90_UPI00077AAE55	2
UniRef90_UPI0009E4EF96	2
UniRef90_UPI00077AD709	3
UniRef90_A0A2B4RUG4	1
UniRef90_UPI00077AE7F5	13
UniRef90_UPI00077A874C	6
UniRef90_A0A2B4RQH0	3
UPI00077A5B14	1
UniRef90_UPI0009E33CC6	1
UniRef90_UPI00077AF08B	4
UniRef90_UPI0009E5B600	3
UniRef90_A0A2B4SFZ3	3
UniRef90_UPI0009E1D21D	1
UniRef90_UPI00077B05C2	2
UniRef90_UPI00077A8551	1
UniRef90_A0A2B4SUK8	8
UniRef90_A0A2B4SDH5	1
UPI00077A9F1B	1
UniRef90_UPI0009E32C38	48
UniRef90_UPI00077AB6A3	1
UniRef90_UPI00077A0059	1
UniRef90_UPI0009E4B450	18
UniRef90_UPI000779F7B8	2
UniRef90_UPI0009E2B47F	1
UniRef90_UPI0001CBA6F4	2
UniRef90_UPI0009E51A11	2
UPI00077A2A8F	1
UPI000F5506C7	1
UniRef90_UPI00077A24D3	2
UniRef90_UPI00077A3232	3
UniRef90_UPI0009E4E23D	1
UniRef90_UPI0009E1B938	2
UniRef90_UPI00077AE9D7	2
UniRef90_UPI00077ABCF7	1
UniRef90_UPI000779FD1F	1
UniRef90_UPI00077A9077	5
UniRef90_UPI0009E342D8	1
UPI000C03A8CE	4
UniRef90_UPI0009E31447	1
UniRef90_UPI000F5542C0	2
UPI00077AE887	1
UniRef90_UPI0009E35E2D	1
UniRef90_UPI000C04CC3D	3
UniRef90_UPI00077A6D00	4
