key	read_count
UPI00077B070F	2043
UniRef90_UPI0009E26A13	10006
UniRef90_UPI0009E64B9D	773
UniRef90_UPI0009E30F98	1057
UniRef90_UPI0009E40600	1096
UniRef90_UPI00077AEFFC	708
UniRef90_UPI0009E477B0	1165
UniRef90_UPI0009E6377F	1090
UniRef90_UPI00077B0F61	456
UniRef90_A0A2B4SPQ8	413
UniRef90_A0A2B4RB99	21257
UniRef90_UPI00077ACF60	1199
UniRef90_UPI0009E1924F	1828
UniRef90_UPI00077AC732	1518
UPI000F552B24	1453
UniRef90_UPI00077A26E3	1202
UniRef90_UPI000C042F45	704
UniRef90_UPI00077B0494	1837
UniRef90_UPI0009E54222	2990
UniRef90_UPI0009E404E4	1164
UPI0009E4446A	495
UniRef90_UPI00077A422F	467
UPI00077A5CCA	263
UniRef90_UPI0009E2A2AA	560
UniRef90_UPI000A2A7AFB	1148
A0A2B4T0J0	280
UniRef90_UPI00077AECDE	601
UniRef90_UPI00077AAE8A	1846
UPI00077AD7C8	1656
UPI00077A9F41	1666
UPI0009E1A096	488
UniRef90_UPI00077AF0BC	501
UniRef90_UPI00077AB3E5	319
UPI00077A3CAC	402
UniRef90_UPI00077AAC39	2045
UniRef90_A0A2B4RQW9	968
UniRef90_UPI00077AB3F4	489
UniRef90_UPI0009E636E0	485
UniRef90_UPI0009E54D71	1320
UniRef90_UPI00077B0D8D	726
UniRef90_UPI0009E4ACAC	361
UniRef90_UPI00077ADC4A	705
UniRef90_UPI0009E3DEBF	737
UniRef90_UPI0009E3F91C	1294
UniRef90_UPI00077A833F	916
UniRef90_UPI00077A474C	572
UniRef90_A0A2B4S727	968
UniRef90_UPI0009E22B8F	1875
UPI00077A22A9	1093
UniRef90_A0A2B4SWZ6	930
UniRef90_UPI0009E3055D	686
UniRef90_UPI00077AF649	2301
UniRef90_UPI00077A9503	557
UniRef90_UPI0009E45A33	281
UniRef90_A0A2B4RHP5	982
UniRef90_A7RGK7	260
UniRef90_UPI0009E2A818	2609
UniRef90_A0A2B4RLW4	8600
UniRef90_UPI00077A63EF	3304
UniRef90_UPI000C038FB4	6824
UPI00077AB65D	499
UniRef90_UPI0009E4B450	1334
UniRef90_UPI000C046AAE	71
UniRef90_UPI00077A9991	311
UniRef90_A0A2B4RCA9	888
UniRef90_UPI0009E39598	1364
UniRef90_UPI00077AA532	3355
UPI00077A32CF	1427
UniRef90_UPI00077B23B6	594
UniRef90_UPI0009E25AAA	2029
UniRef90_UPI0009E2A5C6	249
UniRef90_UPI0009E5F9A5	1142
UniRef90_UPI00077A902A	1082
UniRef90_UPI000F550D26	689
UniRef90_UPI0009E5B9E2	444
UniRef90_UPI000A2A5512	440
UniRef90_UPI00077A9A62	588
UPI00077A9E13	655
UniRef90_UPI00077B0E7B	26358
UniRef90_UPI00077A1BAE	305
UniRef90_A0A2B4SW77	1687
UPI00077AFF89	354
UniRef90_UPI0009E2B96B	231
UniRef90_UPI0009E31726	1004
UniRef90_UPI0009E39408	600
UniRef90_UPI00077B0271	3864
UniRef90_UPI00077AD157	912
UniRef90_UPI0009E56BCC	2580
UniRef90_A0A2G8KII3	271
UniRef90_UPI0009E18F3C	5297
UniRef90_A0A2B4SRM3	3058
UniRef90_UPI00077AEEA9	1350
UniRef90_A0A2B4RRY1	2051
UniRef90_UPI0009E61954	845
UniRef90_UPI000C03B50F	342
A0A2B4S9C0	12336
UniRef90_UPI00077A75A6	1052
UniRef90_UPI0009E44514	1833
UniRef90_UPI0009E5A104	5259
UniRef90_UPI0009E2B1D1	988
UniRef90_UPI00077AAA9A	719
UniRef90_UPI000F54FEDB	1756
UPI000F5579BC	1912
UniRef90_UPI00077B0834	232
UniRef90_UPI0009E4FED0	557
UniRef90_UPI00077A7F66	3413
UniRef90_A0A2B4SL36	1056
UniRef90_UPI00077AF5EF	361
UPI000F557721	1284
UniRef90_A0A2B4RU27	345
UniRef90_UPI00077A9287	632
UniRef90_UPI0009E5B2D4	1149
UniRef90_UPI0009E1CFF5	308
UniRef90_UPI00077AAF93	1146
UniRef90_UPI000C050A44	845
UniRef90_UPI00077AD677	201
UPI000F558969	2946
UPI00077A3A9E	1137
UniRef90_UPI0009E3E690	1010
UniRef90_UPI00077A1A39	274
UniRef90_UPI00077AB781	877
UniRef90_UPI000C0394FD	1914
UniRef90_UPI00077ACCBD	193
UniRef90_UPI00077B1832	530
A0A2B4SHR3	3379
UPI00077AAF01	976
UniRef90_UPI00077B1309	1151
UniRef90_UPI00077B0769	866
UniRef90_UPI0009E3C321	859
UniRef90_UPI00077ABFB7	451
UniRef90_UPI0009E3C502	371
UniRef90_G8HTA3	9948
UniRef90_UPI00077AEA7B	107
UniRef90_UPI00077A0A62	1611
UniRef90_UPI0009E3A27E	298
UPI000F54D679	430
UniRef90_UPI00077B14C8	200
UPI000F55728F	1514
UniRef90_A0A2B4RT88	2562
UniRef90_A0A1Q9CDH4	240
A0A2B4T0Z4	1056
UniRef90_UPI0009E4696A	597
UniRef90_UPI00077A6BB1	481
UniRef90_UPI000C048887	1313
UniRef90_UPI00077A5E30	1500
UniRef90_A0A2B4R4D3	377
UPI000C0521D0	1187
UniRef90_A0A2B4RV64	176
UniRef90_UPI00077A711D	959
UniRef90_UPI0009E33D37	429
UniRef90_A7RLN7	3761
UniRef90_A7T4V0	244
UniRef90_A0A2B4RFH9	2206
UniRef90_A0A2B4SGW3	438
UPI000F55295F	947
UniRef90_UPI00077A4E48	248
A0A2B4RJZ0	1861
UniRef90_UPI00077A77E2	814
UniRef90_UPI00077B1558	1090
UniRef90_UPI00077AEFE1	381
UniRef90_UPI00077A66F7	572
UniRef90_UPI00077A95E6	150
UniRef90_UPI00077A154F	4860
UniRef90_UPI0009E44A1D	1023
UniRef90_UPI000779FBA6	685
UniRef90_UPI0009E2DFB4	656
UniRef90_UPI00077A3800	414
UniRef90_UPI00077A3167	1453
UniRef90_A0A2B4STF4	429
UniRef90_A0A2B4SJI3	645
UniRef90_A0A2B4SQ30	2047
UniRef90_UPI00077A6406	3307
UniRef90_UPI00077A5EA3	7182
UPI00077A15E1	3156
UniRef90_UPI00077A8B50	2053
UniRef90_A0A2B4RRD7	557
UPI000C040A9F	1102
A0A2B4S3H2	1042
UniRef90_UPI00077A31F0	486
UniRef90_A0A2B4RML3	619
UPI00077A360B	301
UniRef90_UPI00077A80BB	3495
UniRef90_UPI00077A168B	474
UniRef90_UPI00077A2B05	1177
UniRef90_UPI00077A32E9	1002
UniRef90_A0A2B4SGD3	490
UniRef90_A0A2B4RSQ0	2474
UniRef90_UPI0009E22FA7	2099
UniRef90_UPI0009E53FE9	1694
UniRef90_UPI00077AD4FE	1183
UniRef90_A0A2B4RMB7	1520
UniRef90_UPI00077A9941	830
UniRef90_UPI0009E2F8D6	7793
UniRef90_UPI000779F9CD	820
UniRef90_UPI00077AE0F3	777
UPI000F54E2EC	337
UniRef90_UPI00077AE822	490
UniRef90_A0A2B4S2U4	622
UniRef90_UPI0009E2D148	290
UniRef90_UPI0009E5C6A3	2073
UniRef90_UPI00077ACF16	1587
UniRef90_UPI00077A8E5C	270
UniRef90_UPI00077A8A8B	1572
UniRef90_UPI00077A29EA	715
UniRef90_UPI00077A03F1	388
UniRef90_A0A2B4RHR2	345
UniRef90_UPI0009E4ACB9	9372
UPI000F55521D	5418
UniRef90_A0A2B4S597	2217
UniRef90_A0A2B4RNJ2	2330
UniRef90_A0A2B4SKY7	1417
UniRef90_UPI000A2AA2B2	390
UPI000F553239	1248
UniRef90_UPI0009E3107A	855
UPI00077AFD21	98
UniRef90_A0A2B4R775	412
UniRef90_UPI00077AFC4A	2919
UniRef90_UPI0009E51B1D	2014
UniRef90_UPI00077AFA47	2108
UPI00077A3E5E	881
UniRef90_UPI00077A0B87	1329
UniRef90_UPI00077AA487	356
UniRef90_UPI00077A4951	1038
UniRef90_UPI0009E22B05	537
UniRef90_UPI000779F514	355
UniRef90_UPI0009E5E216	9226
UniRef90_UPI00077A15BF	2900
UniRef90_A0A2B4RUA1	842
UniRef90_UPI0009E5361F	1100
UniRef90_A0A2B4RKC5	414
UniRef90_UPI0009E5BF44	7168
UniRef90_UPI00077A53A0	234
UniRef90_UPI00077A554E	3253
UniRef90_UPI00077AAE03	208
A0A2B4RDA9	664
UniRef90_UPI00077ABB39	1022
UniRef90_A0A2B4S4H7	301
UPI00077AFC41	940
UniRef90_A0A2B4SSX1	4367
UniRef90_UPI00077B270A	463
UPI00077A3B49	1551
UniRef90_UPI00077A441B	1467
UniRef90_UPI00077A3F65	569
UPI000779F844	447
UniRef90_UPI0009E5F7E2	8994
UPI000F54EE14	4864
UniRef90_A7SRW7	196
UniRef90_A0A2B4RNH2	1393
UniRef90_UPI0009E1C811	851
UniRef90_UPI000C0526CF	388
UniRef90_A0A2B4S3W4	479
UniRef90_A0A1S3HH31	201
UniRef90_UPI00077A9AE6	3348
UPI000F556F56	1503
UniRef90_UPI000A2A66A9	554
UniRef90_UPI0009E32C38	1622
UniRef90_UPI0009E2BD72	2104
UniRef90_UPI00077AC4B9	3577
UniRef90_B8RJM0	4312
UniRef90_UPI0009E43058	1789
UniRef90_UPI00077A8B01	1072
UniRef90_A0A0G4EWH2	347
UniRef90_A0A2B4RY84	1007
UPI00077A93E8	491
UPI00077AB1FD	610
UniRef90_UPI0009E413D4	691
UniRef90_UPI00077A8DF4	1211
UniRef90_UPI0009E47AC0	613
UniRef90_UPI00077A4F95	394
UniRef90_A0A2B4ST78	3021
UniRef90_A0A1A8BMQ9	276
UniRef90_UPI00077A7610	353
UniRef90_UPI00077AE49B	766
UniRef90_UPI000779FE32	457
UniRef90_UPI00077A71E6	567
UniRef90_UPI0009E5F18E	464
UniRef90_UPI0009E4D4F3	1887
UniRef90_A0A2B4SW27	2103
UniRef90_UPI00077AABA6	768
UniRef90_UPI000C03E4B9	551
UniRef90_A0A2B4SLC9	18987
A0A2B4SKV5	9834
UniRef90_UPI00077A5D2B	954
UPI000F54D23F	4234
UniRef90_A0A2B4SFF6	3130
UniRef90_UPI0009E63319	678
UniRef90_UPI00077A74DF	1913
UniRef90_UPI00077AB1EE	313
UniRef90_A0A1S3HZ97	328
UniRef90_UPI00077AC32E	793
UniRef90_UPI0009E32888	1938
UniRef90_A0A2B4RED0	472
UniRef90_B3RN97	4011
UniRef90_A0A2B4SHG0	2507
UPI00077A4DFA	757
UniRef90_A0A2B4SEP2	954
UniRef90_UPI00077A2E0D	480
UniRef90_A0A2B4R3B8	285
UniRef90_UPI0009E1CF8D	1176
UniRef90_UPI0009E4BC26	631
A0A2B4SP75	797
UniRef90_A0A2B4RNE6	188
UniRef90_UPI00077A6141	416
UniRef90_UPI00077AFE61	609
UPI00077AB766	3922
UniRef90_UPI00077AC3D9	398
UniRef90_UPI00077A0552	220
UniRef90_UPI0009E290D1	1166
UniRef90_UPI00077B0875	1043
UniRef90_UPI00077A9F0F	712
UniRef90_A0A2B4SN84	7299
UniRef90_UPI0009E38B9D	140
UniRef90_UPI000C042BA2	1403
UniRef90_UPI0009E44B06	1321
UniRef90_UPI00077AE971	95
UniRef90_UPI0009E54D9E	968
UPI00077A02F7	543
UPI000C0392DE	385
UniRef90_UPI00077AEA64	475
UniRef90_UPI000C03D3C1	6715
UniRef90_UPI00077A4684	2039
UniRef90_UPI00077A4BAF	1963
UPI000F55189D	1735
UniRef90_UPI00077A9B74	385
UPI00077A5584	1788
UPI00077A3DD1	338
UPI00077B19C2	70
UPI000F551267	4971
UniRef90_UPI0009E53F87	2967
UniRef90_UPI0009E6177C	720
UniRef90_A0A2B4RHT6	536
UniRef90_H0YMV8	11616
UniRef90_UPI0009E3E6B7	309
UniRef90_A0A2B4SEN6	901
UniRef90_UPI00077A29EF	994
UPI00077ADA74	1165
UniRef90_UPI0009E5E9C8	169
UniRef90_UPI000F54F769	2278
UniRef90_UPI0009E508C4	1038
UniRef90_A0A2B4SQ77	1548
UniRef90_UPI0009E24582	844
UniRef90_A0A2B4S0A0	349
UniRef90_UPI00077A5A87	1373
UniRef90_UPI000779FA05	171
UPI00077A672B	1293
UniRef90_A0A1B4Z126	3986
UniRef90_UPI00077AE23D	865
UniRef90_UPI00077A156C	673
UPI00077A6A6D	298
UniRef90_UPI000F55616A	297
UniRef90_UPI00077A25E4	35796
UniRef90_UPI00077A8AA8	975
UniRef90_UPI00077AE50B	2445
UniRef90_UPI0009E44089	1636
UniRef90_UPI00077AF702	1752
UPI00077ADEC4	1162
UPI00077A20F0	1695
UniRef90_UPI0009E2DC19	458
UniRef90_A0A2B4S8F9	774
UniRef90_UPI0009E58229	494
UniRef90_UPI00077AF133	470
UniRef90_UPI0009E5CB7D	13306
UniRef90_A0A2B4SIJ8	8036
UniRef90_UPI0009E5B2A8	1876
UniRef90_UPI0009E65605	2031
UPI000C03A010	249
UPI0009E26412	2591
UniRef90_A0A2B4SUY7	1799
UniRef90_UPI0009E26FB9	253
UniRef90_UPI00077AD7E8	602
UniRef90_UPI00077A3867	280
UniRef90_UPI0009E65E13	463
UniRef90_A0A2B4RB66	12932
UniRef90_UPI00077B0224	580
UniRef90_UPI00077A6B28	1738
UniRef90_A0A2B4RFA8	4145
UniRef90_UPI0009E3E3E7	376
